书名,作者,更新到,简介,详细连接,封面图
修罗天尊,始于梦,新书不灭战神，正式启动，关于天尊后续说明,一个神秘的少年，携吞天神兽，以身成魔，杀遍九天万界，屠戮万千神魔，成就至高无上的修罗天尊。?详细>>,http://book.km.com/shuku/706462.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
唐门高手在异世,莫默,后记,宁遇阎罗王，莫惹唐门郎！行走在黑暗之中，卑鄙却不失本性，无耻却不丢风度的勾魂使者！一个唐门弟子重生到...?详细>>,http://book.km.com/shuku/161058.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
琴帝,唐家三少,第三百三十六章 大结局，对不起，杀了你（下）,九叠琴音震寰宇，谁敢闻言不识君？七色魔法代等级，雄雄揭大幕。琴之帝王，给这片大陆带来翻天覆地的改革。...?详细>>,http://book.km.com/shuku/165458.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
生肖守护神,唐家三少,第三百六十章 婚礼（下）全剧终,十二生肖，象征着十二个月份，但是，没有人知道，他们也象征着十二位守护者。十二位传承着生肖血脉的守护者...?详细>>,http://book.km.com/shuku/90747.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
神印王座,唐家三少,新书：斗罗大陆II《绝世唐门》开启,魔族强势，在人类即将被灭绝之时，六大圣殿崛起，带领着人类守住最后的领土。一名少年，为救母加入骑士圣殿...?详细>>,http://book.km.com/shuku/144885.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
修真归来在都市,陌路行,新书已发,八十年前，尹修为了突破极限，追寻更高境界，踏上了前往遥远的星空彼岸的路途。八十年后，修为瓶颈，意识到...?详细>>,http://book.km.com/shuku/1350808.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
很纯很暧昧,鱼人二代,第两千三百八十四章 T17番外特别章（4）,杨明是一名普通的学生，某一天，他收到一份礼物，一只神奇的眼镜，从此生活变得丰富多彩。?详细>>,http://book.km.com/shuku/144123.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
神魔天尊,九当家,完本感言！,剑阁侯府，第四代子孙“宁小川”，在青楼，与人争夺一位姿容貌美的银牌乐妓，被人一掌打死！在他被送进墓地...?详细>>,http://book.km.com/shuku/1134443.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
九转星辰变,婉容潇潇,第1895章 星陨灭世（大结局）,天龙帝国，强者如云！一妖孽般的少年横空出世。天生纯阳之体，吸星辰之力，练绝世神技。转世轮回只是为了心...?详细>>,http://book.km.com/shuku/1288111.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
战场合同工,勿亦行,第三千零六十一章 香料峡谷,退伍兵林锐，债台高筑生计艰难，又找不到工作。再一次工作面试失败之后，偶遇一个神秘的中年人，为他提供了...?详细>>,http://book.km.com/shuku/1349950.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
最强弃兵,大侠张云泽,第两千五百四十一章 江氏,他是华夏龙组的龙少，因为一场变故成为龙组弃子流落海外，但他自强不息。他行事偏激，笃信一个真理，杀出片...?详细>>,http://book.km.com/shuku/1349774.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
极品家丁,禹岩,《家丁》的本质,年轻的销售经理，因为一次意外经历，来到了一个完全不同的世界，成为萧家大宅里一名光荣的——家丁!暮晓春...?详细>>,http://book.km.com/shuku/90714.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
女校小保安,素手添香,第4392章 婴儿的声音？,特种兵回归都市，应聘成了宿舍的保安。战场杀敌我在行，可是对付这么多学生，该怎么办才好？重回都市，强者...?详细>>,http://book.km.com/shuku/1351402.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
吞噬星空,我吃西红柿,番茄新书《雪鹰领主》五十万字了，可以看了~~,星空中。“这颗星球，通体土黄色，没有任何生命存在，直径21000公里，咦，竟然蕴含‘星泪金’矿脉，真...?详细>>,http://book.km.com/shuku/117968.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
与千年女鬼同居的日子,卜非,欢迎阅读新书《都市修真妖孽》,为了赚点零花钱代人扫墓，结果一只女鬼跟着回了家，额滴个神呀，从此诡异的事情接二连三的发生在了自己身边...?详细>>,http://book.km.com/shuku/1351133.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
剑神重生,天雷猪,完本感言,曾经纵横魂剑大陆的一代剑神无天，被人追杀之下无奈自爆，竟奇迹般的重生到了一个少年的体内从此以后，魂剑...?详细>>,http://book.km.com/shuku/172440.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
妖孽兵王,妙手摘星,第两千五百四十章：再见……我所钟爱的,国家的最强利刃在完成最后一次任务后打算隐退都市，可现实的一切都不让他如愿。疯狂报复的商业女王，呆萌可...?详细>>,http://book.km.com/shuku/1115086.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
三国军神,冰雪尘,第一千零一十一章 传说（大结局）,穿越东汉末年的陈旭，他的身份只是一介平民。在这个世家林立的时代，他本来只想让自己家人生活得更好。然而...?详细>>,http://book.km.com/shuku/1350974.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
血狼,我爱123,第380章：新的开始,九一八事变，外敌入侵，山河俱碎！特战队长穿越附身傻少胡志勇，凭后世的手段，他打造了抗战第一支特种部队...?详细>>,http://book.km.com/shuku/11174.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
武神血脉,刚大木,第3784章 谁如此大的手笔？,少年李叶，偶得太古血祖之神瞳，融合成自身神级血脉，从此鲤鱼跃龙门，彗星般崛起！修武道巅峰，踏上成神之...?详细>>,http://book.km.com/shuku/1221820.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
重生之神级败家子,辰机唐红豆,开新书啦！《神级幸运星》已上传！,“我必须得败家啊，不败家不浪费我爸妈赚钱的才华了吗？”面对记者的采访，洪大力如是说。采访刚一结束，洪...?详细>>,http://book.km.com/shuku/1040092.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
乾坤剑神,尘山,第3045章 谁也不能阻止,景言曾是景家最优秀的天才，十六岁突破武道九重天踏入先天之境，整个东临城无人能比，却莫名其妙在进入神风...?详细>>,http://book.km.com/shuku/1324473.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
求魔,耳根,新书《一念永恒》，VIP上架啦,魔前一叩三千年，回首凡尘不做仙，只为她……掌缘生灭?详细>>,http://book.km.com/shuku/144524.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
野店,闻松听涛,第728章：野店落成,漂亮寡妇下嫁外来汉，一场意外的结合搅乱小镇的宁静，也踢翻了男人们的醋坛子……屋前男人来来往往，新丈夫...?详细>>,http://book.km.com/shuku/11392.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
鬼吹灯II,本物天下霸唱,第七十章 起源(全文完),电影《鬼吹灯之黄皮子坟》、《鬼吹灯之寻龙诀》皆摘取自原著小说《鬼吹灯II》部分章节改编而成。生死轮回...?详细>>,http://book.km.com/shuku/149323.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
我在末世有套房,晨星LL,新书发布，《星界游民》，求包养~,核战之后的末世，到处都是一片狼藉。如果你一不小心活了下来，那么接下来你将不得不面对饥饿与疾病的恐惧，...?详细>>,http://book.km.com/shuku/1368911.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
无尽丹田,横扫天涯,新书《天道图书馆》已发，求收藏、推荐！,重生后的聂云幸运地拥有了能够改变丹田数量的法诀，别人用一个丹田修炼，你用十个，百个！?详细>>,http://book.km.com/shuku/265739.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
终极高手,秋风123,第3329章 收服,他是超级兵王，他也是暗影杀手！?详细>>,http://book.km.com/shuku/1351327.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
我的千年僵尸女友,天台迷雾,第一千七百六十五章 腥臭？,我五岁时在深山中迷路，改变了我的人生。十多年后，我亲手挖出了自己的僵尸媳妇，人尸搭配，干活不累。杀厉...?详细>>,http://book.km.com/shuku/1351315.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
永恒圣帝,千寻月,第2911章 可曾记得那只白色小兽（爆更时间！）,【日更百万字神作？在这天地间，有一帝座，至高无上，主宰天下沉福诸天万域，万千种族，亿万生灵，莫不俯首...?详细>>,http://book.km.com/shuku/1350959.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
美女市长老婆,流浪,第1769章 永远的传说（大结局）,一个穷小子，利用自己过人的头脑和手段，创造出一个又一个人生奇迹。事实证明，小人物同样可以拥有大生活！...?详细>>,http://book.km.com/shuku/549010.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
修真聊天群,圣骑士的传说,第1987章 我还想再抢救下,某天，宋书航意外加入了一个仙侠中二病资深患者的群，里面的群友们都以‘道友’相称，群名片都是各种府主、...?详细>>,http://book.km.com/shuku/1350653.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
武神空间,傅啸尘,完本感言！读者请进！,叶希文本只是地球上一个普通的大学生，却意外穿越到了一个名为真武界的世界！在这个世界中，强大的武者能翻...?详细>>,http://book.km.com/shuku/143075.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
阴阳鬼医,沙中灰,梦醒时分（大结局）,我叫欧宁，我是医生，身为一名医生，给活人看病不是本事，给死鬼看病才叫能耐。我有祖传的医馆，它叫阴阳医...?详细>>,http://book.km.com/shuku/1288910.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
主宰之王,快餐店,第1585章 团圆（新书已发布）,他意志坚韧，不甘平庸，却资质平平，出自卑微的支族。一次意外，他融合一只太古神灵的眼睛，从此鲤鱼跃龙门...?详细>>,http://book.km.com/shuku/292151.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
超级修炼系统,包租东,完本了！！！,叶一鸣原本是地球上一名孤儿，一个20岁普通的大学生，一次机遇让他穿越到一个陌生的世界，成为了一个小世...?详细>>,http://book.km.com/shuku/1112439.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
异能小农民,楚田,第2799章 佛国女菩提,喝个小酒，打个小牌。不用打工，种点小田，不愁吃来，不愁穿，闲时跟人扯扯淡，修修炼，体内有个“五行泉”...?详细>>,http://book.km.com/shuku/1112522.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
抗战之兵王重生,三北人,第一零六六章 大结局,一个特种兵在一次边境行动中穿越回三十年代的淞沪战场上，成了一名国军排副，血肉横飞的战场，嚣张凶恶的日...?详细>>,http://book.km.com/shuku/1350955.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
移动藏经阁,汉宝,第三千九百八十五章 警告,白晨的脑袋里藏着一个藏经阁，藏经阁里收尽天下武学……?详细>>,http://book.km.com/shuku/1112369.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
天命相师,鲲鹏听涛,1912 惺惺相惜,风水相术，寻龙点穴，鉴宝识宝，道法争锋。偶然学得一身术法的唐丁，会在花花都市里找到自己的位置吗？传说...?详细>>,http://book.km.com/shuku/1350954.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
回到明朝当王爷,月关,469 不拆长城非好汉(大结局）,阴差阳错间，乌龙九世善人郑少鹏回到了大明正德年间。那是一个多姿多彩的时代，既有京师八虎的邪恶，又有江...?详细>>,http://book.km.com/shuku/163792.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
官道无疆,瑞根,官道无疆大结局（22）,自信人生二百年，会当击水三千里！当改革开放的时代大潮来袭，陆为民该如何重掌这人生际遇？从毕业分配失意...?详细>>,http://book.km.com/shuku/151712.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
不朽剑神,雪满弓刀,第两千零七十章 感言、感谢以及新书,太古时代，元始天魔乱世，屠戮众生，洪荒大地生灵涂炭，百族强者齐力撑起一方世界，共抗天魔，爆发神魔大战...?详细>>,http://book.km.com/shuku/938417.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
九阳帝尊,剑棕,第一千七百九十七章 击穿，再击穿！,一场奇遇，一头比山岳还要大的金翅大鹏，成了少年楚晨的分身，从此他获得了进入神墓的资格，神墓中有仙女冰...?详细>>,http://book.km.com/shuku/1030952.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
农家仙田,南山隐士,第1635章 至尊之战,神秘空间，偏僻山村。从繁华都市回归的小农民，开启了他的传奇人生。荒野庙宇，武林宗派，让平静的山林渐变...?详细>>,http://book.km.com/shuku/1148911.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
